ap,lat,lon
KAMW,41.9920436,-93.6218208
KLGD,45.2895479,-118.006124
KBMI,40.4771111,-88.9159167
KJEF,38.5911736,-92.1561447
KSPZ,39.4030556,-119.2511944
KVDF,28.0139872,-82.3452592
KSOW,34.2654717,-110.0056625
KOBE,27.2665833,-80.8503889
KRTN,36.7424392,-104.5017264
KMRB,39.4023568,-77.9829991
KBIS,46.7727222,-100.74575
KIYA,29.9757778,-92.0842222
KUTS,30.7468889,-95.5871667
KTRL,32.7084944,-96.2670944
KMCW,43.1578056,-93.33125
KSRC,35.2106097,-91.7375394
KAIO,41.4038333,-95.04875
KARA,30.0377583,-91.8838961
KDTO,33.2019606,-97.1990975
KBDG,37.5833333,-109.4832778
KMRC,35.5543889,-87.1791389
KMHK,39.1412222,-96.6718056
KPUW,46.7416914,-117.1116192
KIOW,41.6397778,-91.5481389
KMLU,32.5108611,-92.0376667
KAST,46.1579722,-123.8786111
KHKA,35.9404167,-89.8308056
KSPW,43.1656389,-95.2028056
KRAL,33.9518889,-117.4451111
KCMI,40.0388333,-88.2778056
KMTW,44.1287778,-87.6805833
KSIK,36.8988889,-89.56175
KGPZ,47.2092839,-93.5099447
KCMD,34.2686944,-86.8580278
KASN,33.5695042,-86.0512014
KMHE,43.7748333,-98.0386111
KASG,36.1763889,-94.11925
KOSH,43.9844911,-88.5569349
KFEP,42.2461147,-89.5819767
KANW,42.5792222,-99.9929722
KVSF,43.3437222,-72.5172778
KBAX,43.7802222,-82.9854167
KCUT,43.7336606,-103.6194983
KLWT,47.04925,-109.4666944
